	utterance	feats
2416	goodbye 	goodbye    socialobligation
2417	welcome goodbye 	goodbye   goodbye socialobligation
2418	hello mom	hello mom   socialobligation
2419	i wanted to go and get my hairs done 	i and hairs  i wanted hairs done  inform
2420	what is the problem with them 	what problem  problem is  question
2421	they have grown too long	they grown  answer
2422	i do not agree	i i agree  commissive
2423	why 	question
2424	they look beautiful on you	they look  inform
2425	i am just tired of them	i i am  inform
2426	kay	kay   turnmanagement
2427	now you are changing the reasons	reasons you changing reasons directive
2428	what do you mean 	what  you mean what question
2429	i do not think	i i think  commissive
2430	you should cut your hairs	hairs you cut hairs answer
2431	i am sorry	i i am  socialobligation
2432	ca nt manage them anymore	them inform
2433	kay	kay   commissive
2434	then do it	it directive
2435	kay	kay   commissive
2436	thanks mom 	thanks mom    socialobligation
2437	sara would you like to go out for dinner tonight 	dinner tonight  sara like you like  question
2438	yes 	yes    commissive
2439	i have heard there is a new restaurant with inexpensive food 	i a restaurant food  i heard  answer
2440	well 	well    turnmanagement
2441	there must be reason for that i am sure 	reason i  i am  inform
2442	possibly its not good 	inform
2443	o	o   negativefeedback
2444	i do not agree	i i agree  commissive
2445	maybe they have limited menu 	menu  they have menu inform
2446	kay	kay   commissive
2447	lets check on their website	website  check directive
2448	you see here	you see  inform
2449	the comments of people 	comments people    inform
2450	bad service and low quality 	service and quality    inform
2451	ahh	ahh   turnmanagement
2452	i do not trust these reviews 	i reviews  i trust reviews commissive
2453	sara lets just skip this	sara lets this directive
2454	and	and   turnmanagement
2455	go somewhere we know that we wo nt regret	we know we regret  directive
2456	but until we do not try	but we try  contradict
2457	how we will know if its bad	we know  directive
2458	can we try it another time	time we try it negativefeedback
2459	today i do not want to experiment	today i i want  inform
2460	if its okay with you	okay   inform
2461	umm	turnmanagement
2462	kay	kay   commissive
2463	lets check this new one out later	lets one  one directive
2464	today we go somewhere else 	today  we go  directive
2465	these are beautiful denims	denims these are  inform
2466	what do you think 	what  you think what question
2467	yeah 	yeah    commissive
2468	they look nice 	they look  answer
2469	but	but   contradict
2470	i have heard they are poorly made 	i  i heard  inform
2471	i do not agree with that	i i agree  commissive
2472	the touch and feel is also nice 	touch and  touch is  inform
2473	yeah	yeah   commissive
2474	but	but   contradict
2475	you see here at the bottom the threads all loose	bottom threads you see threads inform
2476	hmm	hmm   turnmanagement
2477	there you are right 	you are  commissive
2478	but	but   contradict
2479	i am sure it can be fixed	i i am  directive
2480	r	r   turnmanagement
2481	we can ask if they have more of them 	we ask they have more commissive
2482	how do we escape from this merry go round 	merry  we escape  question
2483	there is no escape 	escape    answer
2484	in the 18th and 19th century technology and industrial revolution was for the people 	and century technology and revolution people    inform
2485	you should also think about this 	you think  inform
2486	that	turnmanagement
2487	when industrial revolution came 	revolution  revolution came  feedback
2488	they also lost jobs 	jobs  they lost jobs inform
2489	huge huge number of people 	number people    inform
2490	yes yes 	yes yes    commissive
2491	it definitely was something	something it was  commissive
2492	but also	but   contradict
2493	when	turnmanagement
2494	there was that rise of the machine 	rise machine    inform
2495	also then humans had to	humans humans had  inform
2496	retreat exactly from those jobs	jobs   inform
2497	humanity had to retreat	humanity humanity had  inform
2498	because	turnmanagement
2499	that part of the landscape is being taken away	part landscape   inform
2500	and	and   turnmanagement
2501	the machines are taking more and more of this landscape	machines and landscape machines taking more inform
2502	first the physical world with all the cars 	world cars    inform
2503	then they dominate the physical world	world they dominate world nan
2504	and	and   turnmanagement
2505	then they will start doing the intellectual work	work they start work nan
2506	because once they take the physical world 	world  they take world nan
2507	what will remain then is the intellectual world 	what world  what remain  nan
2508	f course it it is a	a it is it nan
2509	its a matter of few years	a matter years   nan
2510	that	turnmanagement
2511	you launch an algorithm	algorithm you launch algorithm directive
2512	and	and   turnmanagement
2513	they prove any kind of theorem	kind theorem they prove kind nan
2514	then what remains 	what  what remains  question
2515	when they can	they can  inform
2516	basically they can do anything and everything 	anything and everything  they do anything inform
2517	 yeah 	yeah    commissive
2518	but then what we will do 	but what  we do what contradict
2519	 then we can	we can  answer
2520	do either go on vacation 	either vacation    answer
2521	but then they will also go on vacation 	but vacation  they go  contradict
2522	because once they find out	they find  inform
2523	that	turnmanagement
2524	its better to spend some quality time	quality time  time inform
2525	then if they have a choice	a choice they have choice directive
2526	they will do it 	they do it commissive
2527	but what for 	but what    contradict
2528	we need vacation to rejuvenate ourselves	vacation we need vacation ourselves contradict
2529	from the exhaustion and stress	exhaustion and stress   inform
2530	we have had from work 	work  we had  inform
2531	what will they 	what  they will  error
2532	what will be their objective to go on vacation 	what objective vacation  what be  question
2533	but they will never have any kind of tiredness or stress 	but kind tiredness or stress  they have kind contradict
2534	for the quality of the time 	quality time    answer
2535	if they find that its higher quality	quality they find that directive
2536	they will just do it 	they do it commissive
2537	why will they go	they go  question
2538	and	and   turnmanagement
2539	work in the factory	work factory   inform
2540	or	or   turnmanagement
2541	in an office 	office    inform
2542	such that	turnmanagement
2543	they can get rewarded 	directive
2544	 yes	yes   commissive
2545	 yeah 	yeah    turnmanagement
2546	it started also with us 	it started  inform
2547	we also used to get rewarded	we used  inform
2548	yeah whatever 	yeah    turnmanagement
2549	food and rations 	food and rations    inform
2550	and that keeps us in the loop of working and producing 	and loop and  that keeps us directive
2551	work and produce	work and   inform
2552	 society still works that way 	way  society works  directive
2553	and that is good 	and  that is  commissive
2554	the problem is	problem problem is  directive
2555	when	turnmanagement
2556	these machines will land	machines machines land  inform
2557	in the intellectual world 	world    inform
2558	and then	and   turnmanagement
2559	but i think	but i i think  contradict
2560	it will still take some time 	time  it take time inform
2561	yes	yes   commissive
2562	they will land in the intellectual world 	world  they land  inform
2563	when they will start shaping	they start  directive
2564	how we think and	and we think  inform
2565	how we live our personal lives 	lives  we live lives inform
2566	then	turnmanagement
2567	 then	turnmanagement
2568	we will be just slaves 	slaves  we be  inform
2569	 then	turnmanagement
2570	yes	yes   commissive
2571	that is the risk 	risk  that is  inform
2572	 why do nt you never see good intentions 	intentions  you see intentions question
2573	like why do nt you see 	like  you see  turnmanagement
2574	like why you always see a dystopian society 	like a society  you see society question
2575	  i do nt know	i i know  answer
2576	i might be quite biased towards dystopian 	i dystopian  i be  directive
2577	may be i like too much the movie matrix too much 	i like movie matrix  i be  inform
2578	yes i tend to see more negative aspects than the positive 	yes i aspects  i tend aspects answer
2579	 yeah i think it steals people s job 	yeah i people job  i think it steals job commissive
2580	it does not steals job	job it steals job error
2581	it ends 	it ends  inform
2582	it just snatches peoples jobs 	peoples jobs  it snatches  inform
2583	 its not stealing 	its stealing  negativefeedback
2584	stealing is like doing something while hiding while not coming in the front 	something front  stealing is something inform
2585	 fcourse they don steal 	fcourse steal they don  commissive
2586	its the people who assign them these jobs 	people who jobs  who assign jobs inform
2587	 yeah 	yeah    commissive
2588	 yeah 	yeah    commissive
2589	that s why they are developing ethics	s ethics that s they developing ethics directive
2590	and	and   turnmanagement
2591	bringing all these regulations 	regulations   regulations inform
2592	we are always always 	we are  turnmanagement
2593	because humans will exagerate 	humans  humans exagerate  inform
2594	and	and   turnmanagement
2595	may be we will exagerate	we exagerate  directive
2596	and	and   turnmanagement
2597	just become puppets in the hands of machines 	puppets hands machines  puppets become  inform
2598	 in the hands of ai 	hands    inform
2599	there will be a day when machines will be more free than us 	a day machines  machines be  inform
2600	where they can be more free in doing whatever they do 	they be they do whatever inform
2601	 and well be like machines 	and machines    directive
2602	 and it will be the inverse 	and inverse  it be  directive
2603	slaves of the machines	slaves machines   directive
2604	they will put us to work	they put us directive
2605	to have a productive society	a society  society directive
2606	and a constant development	and a development   inform
2607	 i do nt know 	i  i know  negativefeedback
2608	i am not against machines 	i machines  i am  negativefeedback
2609	i am not against robots or ai 	i robots or ai  i am  negativefeedback
2610	i am not against innovation and technology 	i innovation and technology  i am  negativefeedback
2611	but i agree with you at some points	but i points i agree  contradict
2612	when	turnmanagement
2613	i see people just losing jobs 	i people jobs  i see people losing jobs inform
2614	 may be its also that we are so much aware about everything	everything we are  directive
2615	in our surrounding and also outside our surrounding around the world we get so much information	surrounding and world information we get information directive
2616	that we stress so much	we stress  directive
2617	if we do not have such media which communicates all the information 	media information  we have which communicates media information directive
2618	may be we will be more happier 	we be  directive
2619	yeah let machines steal the jobs	yeah machines jobs machines steal jobs commissive
2620	we will find another set of jobs	set jobs we find set inform
2621	like humans we have always survived our destruction 	humans destruction  we survived destruction inform
2622	we create destruction	destruction we create destruction inform
2623	but somehow we always survive it also 	but  we survive it contradict
2624	and build on top of it 	and top    inform
2625	we never we do not scumb to it 	we scumb we scumb  correction
2626	that will be our step to	step that be  directive
2627	i do nt know	i i know  commissive
2628	we do nt have to be super worried	we have  inform
2629	there will be a set of people	a set people   inform
2630	who will be controlling the world	who world who controlling world inform
2631	whether through machines or	machines or   inform
2632	whether through humans	humans   inform
2633	so i think we will always be on the top may	so i top i think we be  inform
2634	may be just selected few people 	people   people directive
2635	few people will be on the top and	people top and people be  inform
2636	they will be controlling the machines and humans 	machines and humans  they controlling machines inform
2637	but the scenario is not very different 	but scenario  scenario is  contradict
2638	these social media and google they control us 	media and  they control us inform
2639	in lot of ways 	lot ways    turnmanagement
2640	and	and   turnmanagement
2641	they are using ai	they using ai inform
2642	to just destroy the social structure 	structure   structure inform
2643	destroy our communication 	communication   communication inform
2644	to increase the stress 	stress   stress turnmanagement
2645	to track us down at all levels 	levels   us inform
2646	to have every kind of thing from us 	kind thing   kind inform
2647	 yes	yes   commissive
2648	 and	and   turnmanagement
2649	i do nt see that	i i see that inform
2650	 and	and   turnmanagement
2651	that is already happening 	that happening  inform
2652	 i do nt think anything new is going to happen 	i anything  i think anything going  contradict
2653	we were controlled by the monarchs earlier 	monarchs    inform
2654	then the political governments 	governments    inform
2655	now its these companies and	companies and   inform
2656	then well	turnmanagement
2657	then why not they are using ai already to control us	they using ai us correction
2658	its happening right now ever where	its happening  inform
2659	 yes	yes   commissive
2660	yes 	yes    turnmanagement
2661	 and the blow that they strike on zukenberg	and blow zukenberg they strike that inform
2662	its nothing in compared to the power these multinationals have 	nothing power multinationals  multinationals have  inform
2663	the power in making us very predictable 	power    inform
2664	whatever you search google knows	you search google knows whatever inform
2665	that whatever	turnmanagement
2666	comes first is what you are going to go with 	what  you going what inform
2667	 yes and they are showing us	yes and they showing us directive
2668	what they want us to see 	what  they want us see what directive
2669	we do not have any freedom 	freedom  we have freedom directive
2670	 what they want to show us is	what they want what us inform
2671	what people decided to see 	what people  people decided what directive
2672	and the loop gets reinforced 	and loop    inform
2673	so the people will continue to see the same things 	people things  people continue things inform
2674	because they decide that 	they decide that commissive
2675	like 	turnmanagement
2676	its simple you search for something how this thing works 	something thing  you search thing works  inform
2677	how does that work 	work    question
2678	and so on 	and    turnmanagement
2679	and a solution comes up 	and a solution  solution comes  inform
2680	then if that solution gets successful	solution solution gets  inform
2681	then the loop gets reinforced 	loop    commissive
2682	 i get what you are saying there 	i what  i get you saying what feedback
2683	i see the problem there  	i problem   i see problem commissive
2684	what you are trying to say 	what  you trying what commissive
2685	i understand you very well	i i understand you commissive
2686	you are right that then we are not seeing anything new 	anything  you are we seeing anything commissive
2687	we are just seeing all the things that other people have already seen  	things people   we seeing people seen things that inform
2688	yeah and its all reinforced 	yeah and    turnmanagement
2689	and we are becoming more and more predictable 	and and  we becoming  inform
2690	we are becoming more and more traceable 	and  we becoming  turnmanagement
2691	more and more similar 	and    turnmanagement
2692	 this is  why at a certain point	a point this is  directive
2693	if nothing changes	nothing changes   directive
2694	i say	i i say  turnmanagement
2695	then there will be a reversion 	a reversion    commissive
2696	between humans and machines 	humans and machines    inform
2697	where machines will be free to do whatever they want 	machines  machines be they want whatever inform
2698	and these machines they will be standing on humans 	and machines humans  they standing  inform
2699	and they will be controlling us 	and  they controlling us inform
2700	 i do nt think so 	i  i think  contradict
2701	there will be several humans controlling these machines	humans machines  machines negativefeedback
2702	and these machines will control the whole of humanity 	and machines whole humanity  machines control whole inform
2703	i think there will always we a human on the loop 	i a human loop  i think we will  negativefeedback
2704	 it will be humans vs machines 	humans machines  it be  inform
2705	 may be i am biased	i may be i am  directive
2706	but	but   turnmanagement
2707	i do nt see us dooming anytime soon 	i  i see us dooming  contradict
2708	 10 10 years and the robots they will start going to the universities	years and robots universities they start  inform
2709	and	and   turnmanagement
2710	doing research 	research   research inform
2711	ten years	years   turnmanagement
2712	or supporting consistently 	or    inform
2713	i think it will be contained at some point 	i point  i think  directive
2714	i do nt think its going to be used in that sense	i sense i think its going  contradict
2715	and i hope so they do nt 	and i  i hope they do  inform
2716	well we had a nice conversation about that 	well a conversation  we had conversation inform
2717	how you felt 	you felt  question
2718	did you had difficulties or you did not 	difficulties or  you had you did difficulties question
2719	you did not had difficulties 	difficulties  you had difficulties question
2720	whether and people and and how the mental turmoil was going though 	and people and and turmoil  turmoil going  question
2721	i can tell you mine one 	i  i tell one answer
2722	and i can also tell you what others think about that	and i what others i tell others think you what answer
2723	for me	inform
2724	aaa 	aaa    turnmanagement
2725	i do nt think so much about the things 	i things  i think  contradict
2726	i believe that if something comes then	i something i believe something comes  commissive
2727	i have to make myself competitive 	i  i have  inform
2728	such that i can cope up with any kind of situation 	i kind situation  i cope  directive
2729	some people think a lot of things 	people a lot things  people think lot directive
2730	just like i had a friend he is now a professor in iit roulkela 	i a friend a professor roulkela  i had he is friend inform
2731	he got a hd in japan 	a  he got hd inform
2732	some tusukuba university 	inform
2733	he thought so much 	he thought  inform
2734	so many things 	things    turnmanagement
2735	when i will go	i i go  question
2736	what is my scholarship 	what scholarship  scholarship is  question
2737	 yes	yes   commissive
2738	 and	and   turnmanagement
2739	and what will be the house expense 	and what house expense  what be  question
2740	and so many other things 	and things    inform
2741	 hmmm hmm	hmm   feedback
2742	 yeah	yeah   commissive
2743	 after that he exaggerated so many things	things he exaggerated things inform
2744	that he actually did not go there 	he go  inform
2745	 h really	h   turnmanagement
2746	 yes	yes   feedback
2747	 h my god 	h my god    turnmanagement
2748	 my intention was	intention intention was  inform
2749	is to do a post doc 	a post doc   doc inform
2750	when i was in the industry	i industry i was  inform
2751	i was getting the opportunity for the onsite 	i opportunity  i getting opportunity inform
2752	yes	yes   feedback
2753	i will travel to us there was a client 	i a client  i travel  inform
2754	yeah yes	yeah yes   commissive
2755	even at that time i did not think so much 	time i  i think  commissive
2756	yeah so i was ready for that 	yeah  i  i was  inform
2757	i dint think	i i dint  inform
2758	they start like over thinking	thinking they start  inform
2759	and they kill all the excitement	and excitement they kill excitement commissive
2760	yeah 	yeah    commissive
2761	some people think too much	people people think  turnmanagement
2762	and	and   turnmanagement
2763	then they kill all the excitement 	excitement  they kill excitement directive
2764	yes	yes   turnmanagement
2765	i think so	i i think  directive
2766	they start over thinking	thinking they start  inform
2767	and	and   turnmanagement
2768	kill all the excitement	excitement  excitement inform
2769	 something means 	something  something means  turnmanagement
2770	uncertainty is	uncertainty uncertainty is  interactionstructuring
2771	i think its a nature and that is a life 	i a nature and a life  i think that is nature inform
2772	yeah	yeah   commissive
2773	if everything you can predict 	everything  you predict  inform
2774	everything you can plan then	everything you plan  inform
2775	you do not have any spikes	spikes you have spikes directive
2776	and	and   turnmanagement
2777	you do not have spikes in life and its like 	spikes life and like  you have spikes directive
2778	it becomes boring	it becomes  inform
2779	i think 	i  i think  turnmanagement
2780	yes yes	yes yes   commissive
2781	that the thing it becomes boring 	thing  it becomes  directive
2782	and everything is scripted then	and everything   inform
2783	there and things are going on 	and things  things going  nan
2784	but i also feel	but i i feel  contradict
2785	that if you plan too much 	you plan  commissive
2786	things do not work out well 	things  things work  commissive
2787	like your plans fail	plans plans fail  commissive
2788	because life does not goes according to your plans 	life plans  life goes  commissive
2789	 f course of course	course   commissive
2790	 and then you get frustrated 	and  you get  inform
2791	angry 	inform
2792	and with this	and   commissive
2793	i feel	i i feel  turnmanagement
2794	the controlling nature of people	nature people   inform
2795	it it exhibits a lot 	a lot  it exhibits it exhibits  inform
2796	and then if we are controlling and things	and and things we controlling  directive
2797	do nt go according to us	inform
2798	them you go mad 	you go  inform
2799	 yes 	yes    commissive
2800	i think you are relating expectation to each and everything 	i expectation and everything  i think you relating expectation commissive
2801	you have a plan and you have a expectation	a plan and a expectation you have you have plan expectation commissive
2802	that	turnmanagement
2803	that will work out as per your expectation 	expectation  that work  commissive
2804	but that does nt	but that does  contradict
2805	 it may 	it may  commissive
2806	yeah	yeah   commissive
2807	 and and	and and   turnmanagement
2808	if you plan too much	you plan  directive
2809	then you control	you control  directive
2810	 you you try to control	you try  directive
2811	 then i feel that	i i feel that inform
2812	then if you get disappointed	you get  commissive
2813	it hurts a lot 	a lot  it hurts  commissive
2814	but if you do nt plan so much then	but you plan  contradict
2815	you do nt get hurt 	negativefeedback
2816	like if things do nt go according to your plan	things plan things go  commissive
2817	then will its okay	its will  question
2818	its fine 	fine    commissive
2819	the flexibility is necessary 	flexibility  flexibility is  directive
2820	 the flexibility	flexibility   commissive
2821	and also	and   turnmanagement
2822	you need to think	you need  turnmanagement
2823	that what are the things required to do that 	what things  things are that commissive
2824	just like before coming to any country for education 	like country education    commissive
2825	 hmm	hmm   turnmanagement
2826	 there are somethings that you can look before coming there	somethings you look that commissive
2827	such as currency of that country 	currency country    commissive
2828	that you ha to take it at the right time 	time  you take it commissive
2829	you can see the pattern of the exchange	pattern exchange you see pattern commissive
2830	then you can take the right decisions 	decisions  you take decisions directive
2831	then if you are coming so for a temp location	a temp location you coming  directive
2832	you need to	you need  error
2833	have to see for a place that you need to accommodate your self 	a place self  you need that self commissive
2834	 yeah hmm	yeah hmm   turnmanagement
2835	 so so 	turnmanagement
2836	for me everything i relate to research 	everything i research  i relate  interactionstructuring
2837	everything is just like	everything everything is  turnmanagement
2838	you have a problem definition	a problem definition you have definition directive
2839	and these are the possible solutions 	and solutions  these are  commissive
2840	 yeah 	yeah    commissive
2841	 so	turnmanagement
2842	i used to write everything in terms of that 	i everything terms  i used everything commissive
2843	before coming here this is my professor 	professor  this is  inform
2844	okay these are the things i have to ask him 	okay things i  these are i have him directive
2845	like how much is my scholarship 	scholarship  much is scholarship is  question
2846	where i can stay 	i  i stay  question
2847	what is the period of that 	what period  period is  question
2848	what are the future possibilities 	what possibilities  possibilities are  question
2849	these are the some of the things	things these are  directive
2850	that	turnmanagement
2851	you need before making a decision	a decision you need decision inform
2852	but the moment you have made you decision	but moment decision you made  contradict
2853	then you go and meet with that 	and  you go  directive
2854	 hmm	hmm   turnmanagement
2855	 hmm	hmm   turnmanagement
2856	 yeah	yeah   turnmanagement
2857	i agree with that	i i agree  commissive
2858	 the other thing is also that	thing thing is  inform
2859	the more you	interactionstructuring
2860	you will meet different variety of people 	variety people  you meet variety inform
2861	the more you will feel liberal	you feel  inform
2862	or	or   turnmanagement
2863	the other hand conservative also 	hand conservative    inform
2864	so it depends on	it depends  inform
2865	what are the things you are expecting 	what things  things are you expecting  question
2866	ne thing which was uncertain	thing which was  inform
2867	which i did not figure out or did any research on was how the people would be 	i or research people  i figure people be which research inform
2868	when i came here i felt	i i i came i felt  inform
2869	i l realized	i l i realized  correction
2870	people are really nice	people people are  directive
2871	really beautiful people 	people    directive
2872	i can say that in my experience	i experience i say that inform
2873	they are the best people whoever i have met so far 	people whoever i  they are i met whoever commissive
2874	 yeah	yeah   commissive
2875	they are very good at heart	heart they are  commissive
2876	most of the people 	people    commissive
2877	 and one thing	and thing   turnmanagement
2878	i feel very nice about everyday 	i  i feel  inform
2879	whenever i come from home to college and	i home college and i come  directive
2880	whenever i see any person	i person i see person inform
2881	and	and   turnmanagement
2882	we have eye contact and	eye contact and we have contact inform
2883	so i	i   turnmanagement
2884	i by habitually	i   turnmanagement
2885	i used to say hey 	i hey  i used  inform
2886	and it fun that they used to say me hey 	and hey  it fun they used me inform
2887	respond	error
2888	yeah 	yeah    commissive
2889	they respond	they respond  correction
2890	 yes	yes   commissive
2891	they respond	they respond  commissive
2892	 but	but   contradict
2893	in india its like	like   inform
2894	 its horrible 	horrible    inform
2895	if you say hey 	hey  you say  directive
2896	oh you know me	oh you know me commissive
2897	you do nt know me 	you know me commissive
2898	then why do you say hey 	hey  you say  commissive
2899	 they suspect you	they suspect you turnmanagement
2900	as if you are going to kill them 	you going them commissive
2901	 if you say hey	hey you say  turnmanagement
2902	to a beautiful girl	a girl   inform
2903	then that means you are following her or something 	or something  that means you following her directive
2904	 yes	yes   commissive
2905	we do not have such social norms 	norms  we have norms commissive
2906	that was my first impression of the people	impression people that was  inform
2907	in the western countries 	countries    turnmanagement
2908	in the malls 	malls    turnmanagement
2909	on the streets 	streets    turnmanagement
2910	people greet each other 	people  people greet other inform
2911	and	and   turnmanagement
2912	as we go more and more towards these socially rich countries 	and countries  we go  inform
2913	more people are open in social spheres	people spheres people are  directive
2914	they while walking on the road for example	road example   commissive
2915	i really like it 	i  i like it inform
2916	it felt like home 	home  it felt  inform
2917	it felt like i belong here 	i  it felt i belong  inform
2918	 yes yes	yes yes   commissive
2919	 i never felt any difficulties here 	i difficulties  i felt difficulties inform
2920	its not that i am missing my place	i place i missing place directive
2921	and	and   turnmanagement
2922	not interacting with the environment 	environment    inform
2923	and they all are nice	and they are  directive
2924	 what do you suggest	what you suggest what directive
2925	that we should learn from these people 	people  we learn  question
2926	 the first thing is that	thing thing is  answer
2927	what i felt	what i i felt what turnmanagement
2928	in indian is we are losing the humanity there 	humanity  we losing humanity commissive
2929	we are going greedy day by day 	day day  we going  inform
2930	the environment the nature 	environment nature    inform
2931	we are not bothering about that  	we bothering  inform
2932	 hmm hmm yeah	hmm hmm yeah   turnmanagement
2933	 the first thing is humanity that we are loosing 	thing humanity  thing is we loosing  directive
2934	we are saying we have a heritage culture 	a heritage culture  we saying we have culture directive
2935	 but that is in the past 	but past  that is  contradict
2936	 yes yes	yes yes   commissive
2937	 what i think is	what i i think what turnmanagement
2938	that we are becoming a hybrid generation 	a generation  we becoming  commissive
2939	of half indian and half us 	and    commissive
2940	we are just blindly following the us 	we following us inform
2941	 if your one leg is somewhere and other leg somewhere 	leg and leg  leg is  inform
2942	then	turnmanagement
2943	 you can not be balanced 	directive
2944	 there is always conflict between 	conflict    turnmanagement
2945	at least with all the people in my generation 	people generation    inform
2946	whether to go traditional way indian way 	way way    question
2947	or whether to adapt or just to take up other culture 	or or culture   culture question
2948	but in the tvs we see only exaggerated culture of the west 	but tvs culture west  we see culture contradict
2949	 they are not divorcing they are so friendly 	they divorcing they are  directive
2950	 f course of course 	course    commissive
2951	they respect the other people freedom 	people freedom  they respect people freedom commissive
2952	they respect other genders 	genders  they respect genders commissive
2953	they do nt discriminate against each other 	they discriminate  commissive
2954	they do nt control people 	people  they control people commissive
2955	if two people are living with each other 	people  people living  inform
2956	if they are having conflict 	conflict  they having conflict inform
2957	its good they will breakup and have a better life 	good and a life  they breakup life inform
2958	 they do nt discriminate 	they discriminate  turnmanagement
2959	they do nt control people 	people  they control people inform
2960	 its not definite	turnmanagement
2961	that this is the person 	person  this is  inform
2962	here you get more freedom to choose 	freedom  you get freedom turnmanagement
2963	and be with the person who you like	and person who you like who inform
2964	in india its like once you go and get that person you are doomed 	like and person  you go person turnmanagement
2965	because your family gets attached and its very very constraining 	family and    inform
2966	i think we can change few things in those aspects  	i things aspects   i think we change things directive
2967	 yes yes 	yes yes    commissive
2968	many of the things once	things   commissive
2969	i came here being in india i was thinking that these are the things that we should do 	i i things  i came i thinking these are we do that commissive
2970	something that we need to change 	something  we need that commissive
2971	that was the perception when i was in india 	perception i  that was i was  commissive
2972	ow when i came here i realized that there are many things that we have to change 	i i things  i came i realized we have that inform
2973	 yes	yes   turnmanagement
2974	 the root cause is parenting 	root cause  cause parenting  turnmanagement
2975	everything comes from there 	everything  everything comes  inform
2976	ather than making targets for our children 	targets children   targets directive
2977	these are the things that you have to do you have to obey your parents 	things parents  these are you have you have that parents inform
2978	these are the rituals you have to perform 	rituals  these are you have  inform
2979	o matter what	what   turnmanagement
2980	you have to get good marks 	marks  you have marks inform
2981	 and they never gave any reason for anything 	and reason anything  they gave reason inform
2982	we have to just do it well why 	we have it inform
2983	so i think we should start having dialogue with our children 	i dialogue children  i think we start dialogue directive
2984	explain the things what is good what is bad 	things what what  what is what is things directive
2985	rather than saying that this is the thing that you should do 	thing  this is you do that inform
2986	yes	yes   commissive
2987	attach explanation with everything	explanation everything  explanation commissive
2988	such that he will understand that what is injurious 	what  he understand what is  commissive
2989	just do the explanation 	explanation   explanation commissive
2990	instead of punishing them 	them turnmanagement
2991	just let them know about its problems 	problems  them know  commissive
2992	and then let them choose 	and  them choose  commissive
2993	because its their life  	life     commissive
2994	 yes of course 	yes course    turnmanagement
2995	at the end it is their life 	end life  it is  inform
2996	and your focus should be to make them capable of taking their decisions 	and focus decisions  focus be decisions inform
2997	train them to take the wise decisions 	decisions   them decisions directive
2998	so there are many things that we can fix 	so things  we fix that inform
2999	in the parenting	parenting   inform
3000	and	and   turnmanagement
3001	see that rest of the society will change everything 	rest society everything  rest change everything directive
3002	 yeas 	yeas    commissive
3003	 why its always the responsibility of the girls and women to take care 	responsibility girls and women care   care interactionstructuring
3004	 of the family 	family    turnmanagement
3005	 of the brothers 	brothers    inform
3006	family house 	family house    inform
3007	why she will do the cleaning and the	cleaning and she do cleaning directive
3008	boy will do the outside work 	boy work  boy do work directive
3009	you are making distinctions 	distinctions  you making distinctions inform
3010	you are bringing discrimination at a very initial stage	discrimination a stage you bringing discrimination inform
3011	and then	and   turnmanagement
3012	complaining that society is transforming where no body is respecting women 	society body women  society transforming body respecting women inform
3013	 yeah	yeah   commissive
3014	 if fathers do nt respect mothers 	fathers mothers  fathers respect mothers inform
3015	and	and   turnmanagement
3016	if brothers do nt respect sisters 	brothers sisters  brothers respect sisters inform
3017	they wo nt respect the women when they go outside	women they respect they go women inform
3018	 yeah yeah	yeah yeah   commissive
3019	 it will never happen	it happen  directive
3020	that	turnmanagement
3021	when they go into the society they will respect other women	society women they go they respect women directive
3022	 other women	women   turnmanagement
3023	and women respecting other men 	and women men   men turnmanagement
3024	 if the mother is not telling her boy to behave properly 	mother boy  mother telling boy directive
3025	the boy will never behave properly	boy boy behave  commissive
3026	 even i think the same	i i think  commissive
3027	that	turnmanagement
3028	most of the indian men have developed the mentality that women are objects 	men mentality women objects  most developed women are mentality inform
3029	 and that is really really frustrating	and that is  directive
3030	 its pathetic for us to see	pathetic us see  turnmanagement
3031	 its dangerous 	turnmanagement
3032	if see 	turnmanagement
3033	as soon you grow in your position and designation in the society there comes lot of responsibility 	position and designation society lot responsibility  you grow  inform
3034	freedom comes with accountability and designation comes with responsibility 	freedom accountability and designation responsibility  freedom comes  inform
3035	and we see lot of political leaders commenting on rape	and lot leaders rape we see lot directive
3036	like means 	means    turnmanagement
3037	are they human or not	or they are  question
3038	 it just feels that they do nt have any feelings 	feelings  it feels they have feelings answer
3039	  they are the leaders of the society	leaders society they are  directive
3040	and	and   turnmanagement
3041	they are running the government and so 	government and  they running government inform
3042	and its not like the society made them	and society  them commissive
3043	its like the parenting made them	parenting  them commissive
3044	 yes	yes   commissive
3045	i think	i i think  turnmanagement
3046	if we have to fix something	something we have something inform
3047	we have to repair ourselves 	we have ourselves directive
3048	it is the first thing we have to repair our parenting 	thing parenting  it is we have parenting directive
3049	we have to be vary careful about it 	we have  inform
3050	we should not criticize other cultures and society like they are divorcing 	cultures and society  we criticize they divorcing cultures directive
3051	 put the blame on them	blame  blame directive
3052	 they are doing live in relation 	relation  they doing relation directive
3053	that is their culture	culture that is  inform
3054	and	and   turnmanagement
3055	we should respect	we respect  directive
3056	and	and   turnmanagement
3057	you have to think about the best values	values you have  directive
3058	that we can get from there	we get  inform
3059	and	and   turnmanagement
3060	can bring in your parenting 	parenting   parenting inform
3061	i do not feel any difference of swedish mother and the indian mother	i difference mother and mother i feel difference commissive
