utterance	Sender	Addressee	communicativefunction
Yeah  	A	B	autoPositive 
I think it's just a matter of priorities  	A	B	inform
it's a terrible thing to say when you're speaking of children in that way	A	B	inform
It's uh you know it's	A	B	stalling
 but  you still have to be realistic, as well, I think 	A	B	contradict
Oh	B	A	stalling turnTake
yeah	B	A	agreement 
Yeah 	A	B	autoPositive 
	B	A	
Yeah 	A	B	autoPositive 
Much as other cultures disagree, our lives don't revolve around our children 	B	A	inform
Yeah  	A	B	autoPositive 
Yeah  	A	B	autoPositive 
And	A	B	turnKeep
that's bad to have to admit, too, 	A	B	inform
that's, that's, that's	A	B	stalling
but it's just, there's so much pressure when you're talking about two people that work outside the home 	A	B	contradict
uh, you know	A	B	stalling
and, and	A	B	stalling
I think that is one reason why I continue to be without children 	A	B	inform 
I, - 	A	B	retraction
it's just such a responsibility	A	B	inform
and, and	A	B	stalling
when I've had friends that have said - when you hear people say	A	B	selfCorrection
when you hear people say, it alters your life forever, please take heed <laughter>	A	B	inform
it, it	A	B	stalling
Well, I realize that's true  	A	B	inform
so, it's such a responsibility 	A	B	inform
uh	A	B	stalling
Well	B	A	turnTake
it certainly is	B	A	agreement 
Uh	B	A	stalling
if I can  )  the other side of the coin for a moment 	B	A	request
Huh-uh 	A	B	autoPositive 
It is such an honor and a thrill, to be a parent, that most of the time, it's worth it	B	A	inform
Oh	A	B	stalling
yeah	A	B	autoPositive 
	B	A	
 Huh-uh   	A	B	autoPositive 
	B	A	
Yeah <laughter>  	A	B	autoPositive 
Most of the time <laughter> 	A	B	agreement 
Well	B	A	turnTake
I just have to be honest about it  	B	A	inform
It's not always worth it	B	A	inform
Yeah  	A	B	autoPositive 
Oh	A	B	stalling
sure	A	B	autoPositive 
	B	A	
Sure  	A	B	autoPositive 
Sure  	A	B	autoPositive 
Sure 	A	B	autoPositive 
There are those times when I think, gee,  if I didn't have children I could be out playing  )  or golf 	B	A	inform
Right  	A	B	autoPositive turnTake
Right  	A	B	autoPositive 
Right  	A	B	autoPositive 
Right  	A	B	autoPositive 
but	A	B	turnKeep
it's funny	A	B	inform
you know	A	B	stalling
I did, I had	A	B	selfCorrection
you know	A	B	stalling
I had a friend that said, before we always said we don't want children because we can't go off on the spur of the moment or this or that and the other 	A	B	inform
and	A	B	turnKeep
she got older 	A	B	inform
and	A	B	turnKeep
she said, we never do those things anyway 	A	B	inform 
but, you know	A	B	contradict
So	A	B	turnKeep
why <laughter> why 	A	B	stalling
you know	A	B	stalling
why am I waiting	A	B	inform
It's its	A	B	stalling
It's just the way your attitude changes 	A	B	inform
and	A	B	turnKeep
you mature I suppose 	A	B	inform 
But the thing about the child care I have friends that struggle financially and they both do have to work 	A	B	contradict
I, you know, I	A	B	stalling
and and	A	B	stalling
It's a matter not necessarily that she might want to stay home or he, as well, 	A	B	inform
uh	A	B	stalling
 but, you know,  they need the money  	A	B	contradict
And when I seen some of my friends that have taken that six week old baby you know, to someone else, it's just, I can imagine how emotional  it must be and multiplied by the fact that you don't really trust the person  or you're uncomfortable with the situation, as far as child care,	A	B	inform
uh	A	B	stalling
and and you know	A	B	stalling
um	A	B	stalling
it's just a scary thing 	A	B	inform
Well	B	A	turnTake
we were lucky when our children were that age, 	B	A	inform
and	B	A	turnKeep
having lived in a community for a while we knew the person to whom we were entrusting our children	B	A	inform
and	B	A	selfCorrection
Huh-uh  	A	B	autoPositive 
That's a big plus	A	B	autoPositive 
And felt that feeling of safety	B	A	inform
that that	B	A	stalling
 Right   	A	B	autoPositive 
	B	A	
Right 	A	B	autoPositive 
And	B	A	turnKeep
were leaving them  )  small children	B	A	inform
Huh-uh 	A	B	autoPositive 
But	B	A	turnKeep
we also learned something from that experience as our children got older 	B	A	inform
Yeah 	A	B	autoPositive 
It's that care givers are not omniscient -- 	B	A	inform 
Huh-uh 	A	B	autoPositive 
 -- they are not all things to all people --	B	A	inform 
Right 	A	B	autoPositive 
 -- or all children 	B	A	inform 
Right  	A	B	autoPositive 
Right  	A	B	autoPositive 
Yeah 	A	B	autoPositive 
The ones that are good with babies tend not to be good with toddlers 	B	A	inform 
Huh-uh 	A	B	autoPositive 
	B	A	
Huh-uh  	A	B	autoPositive 
	A	B	
I don't know,  	A	B	stalling
I think your patience level needs to increase as the child gets older <laughter>	A	B	inform 
must, needs to	A	B	selfCorrection
I think that might be part of the problem with some people You know,   	A	B	inform 
taking care of a baby, I know, is not an easy thing,  	A	B	inform 
but when you have them in, their little feet are moving 	A	B	inform
their, their	A	B	stalling
and	A	B	turnKeep
you have to chase them down constantly 	A	B	inform
I'm sure that's a whole new ball game 	A	B	inform
Oh	B	A	stalling
yeah	B	A	autoPositive 
	A	B	
Yeah,  	B	A	autoPositive 
I have a nine year old that I would trade happily for a baby	B	A	inform
<Laughter> Oh,  really  	A	B	autoPositive 
Well	A	B	turnTake
you sound like you're pretty well passed the worst of it as far as worrying about, - 	A	B	inform
worrying about, since they're both in school, you don't have to worry about	A	B	selfCorrection
since they're both in school, you don't have to worry about a full-time person to take care of them  <<Voices fading in and out>> 	A	B	inform
Oh	B	A	stalling turnTake
you don't know what happens after they get in school 	B	A	inform
<Laughter> That's something altogether different	A	B	inform
uh	A	B	stalling
Oh	B	A	stalling turnTake
yes	B	A	agreement 
Now we have one takes piano lessons	B	A	inform
uh	B	A	stalling
 Huh-uh   	A	B	autoPositive 
 somewhere  on one afternoon  	B	A	inform 
and	B	A	turnKeep
the other one, of course can't do the same thing	B	A	inform
Oh	A	B	stalling
of course not 	A	B	agreement 
It has to be somewhere else  	B	A	inform 
and  no  it's not adequate to sit and wait	B	A	inform
	B	A	
<Laughter>  You can't do that  	A	B	agreement 
No 	A	B	agreement 
No 	B	A	agreement 
No  	A	B	agreement 
No 	A	B	agreement 
That just, - 	B	A	retraction
that will not do 	B	A	agreement 
That's out of the question,  	A	B	agreement 
I'm sure 	A	B	agreement 
Of course 	B	A	agreement 
	A	B	
But	B	A	contradict
we are helping,  you know	B	A	contradict
Right  	A	B	autoPositive 
Right 	A	B	autoPositive 
We are being cooperative,  	B	A	inform 
what's wrong with you	B	A	setQuestion
Right  	A	B	autoPositive 
Right 	A	B	autoPositive 
You don't understand this 	B	A	inform
Huh-uh 	A	B	autoPositive 
That's just the way their minds work  	B	A	inform
And	B	A	turnKeep
it's almost everyday 	B	A	inform
That's amazing  	A	B	autoPositive 
It's amazing that people actually, - 	A	B	inform
the stamina that you must draw from yourself to deal with it 	A	B	inform
you know	A	B	stalling
It must be interesting  	A	B	inform
I guess you find out that you're a much stronger person than you thought, maybe 	A	B	inform 
Well	B	A	turnTake
I've been finding out that I really am a nice person	B	A	inform 
)  hit for many years -	B	A	inform
<Laughter>	A	B	autoPositive 
) because  I didn't need it 	B	A	inform 
 <Laughter>  Huh-uh 	A	B	autoPositive 
And	B	A	turnKeep
now, I need it	B	A	inform 
Now it's just a reservoir that you tend to regularly, I'm sure 	A	B	inform 
Yeah  	B	A	autoPositive 
And	B	A	turnKeep
it stays low a lot <laughter>	B	A	inform 
<Laughter>	A	B	autoPositive 
 <Laughter>	B	A	autoPositive 
Well	A	B	turnTake
	A	B	
do you feel comfortable with them coming home after school until you and your wife get home 	A	B	propositionalQuestion
um	A	B	stalling
	A	B	
Absolutely not 	B	A	answer  turnGrab
No  	A	B	autoPositive 
Yeah 	A	B	autoPositive 
I mean one of them I would leave unsupervised any time, any place, any where	B	A	inform 
I would, I would	B	A	stalling
Huh-uh 	A	B	autoPositive 
Uh	B	A	stalling
the other one I wouldn't leave unsupervised two minutes	B	A	inform 
Yeah  	A	B	autoPositive 
Yeah  	A	B	autoPositive 
That's just a difference in kids, I suppose 	A	B	inform 
That's true 	B	A	autoPositive 
Yeah 	A	B	autoPositive 
	B	A	
one leads the other	B	A	checkQuestion
Huh-uh,  	A	B	confirm 
yeah 	A	B	confirm 
And,  uh,  -	B	A	turnTake stalling
and	A	B	turnTake
it's, it's	A	B	stalling
it's the one that's going downhill,	A	B	inform 
is it, is it	A	B	stalling
is it the one that needs more supervision that has a bad influence on the older or more mature one	A	B	propositionalQuestion
needs, needs	A	B	stalling
Of course 	B	A	answer 
Yeah <laughter>  	A	B	autoPositive 
How unfortunate <laughter> 	A	B	inform
You don't think, you don't think	B	A	stalling
You don't think that good prevails 	B	A	checkQuestion
Well	A	B	turnTake
I, I, I'm	A	B	stalling
I'm living in a dream world, 	A	B	inform
what do I know  	A	B	inform 
As I said, I don't have kids  	A	B	inform 
and	A	B	turnKeep
I'm an only child 	A	B	inform 
so  I've never been around children  	A	B	inform 
So I'm sort of at a loss where that's concerned 	A	B	inform 
uh	A	B	stalling
But I do hear my friends talk about it 	A	B	contradict
We, we're	B	A	stalling
we're having such fun	B	A	inform
my wife and I were both only children 	B	A	inform
Huh-uh 	A	B	autoPositive 
And	B	A	turnKeep
we just couldn't wait to have two children so they would be such friends 	B	A	inform 
Yeah <laughter> 	A	B	autoPositive 
Wrong 	B	A	inform
<Laughter>  That's like World War Three every minute <laughter>  	A	B	inform 
I don't know  	A	B	stalling
I, I, I	A	B	stalling
I have to admit, I was selfish as a child 	A	B	inform
self-, selfish	A	B	selfCorrection
I didn't want a brother or sister  	A	B	inform 
And	A	B	turnKeep
now that I'm older, of course, it's different 	A	B	inform 
You know	A	B	stalling
I think about, wouldn't it be nice, 	A	B	inform
uh	A	B	stalling
 but, uh, anyway  -	A	B	contradict
Just make good friends 	B	A	suggest
Yeah, oh,   	A	B	autoPositive 
I have wonderful friends  	A	B	inform
That's true  	A	B	autoPositive 
my best friend is one child of ten  	A	B	inform 
And so	A	B	turnKeep
they just sort of adopted me as their eleventh child 	A	B	inform 
you know	A	B	stalling
so that worked out pretty well  	A	B	inform 
She never had to worry about taking anybody to child care because there was always somebody there older to deal with them,  	A	B	inform
so I guess, that's an alternative  	A	B	inform 
If you could just, have a whole bunch <laughter>	A	B	inform
um	A	B	stalling
Have enough   	B	A	PCM completion 
	A	B	
<Laughter>	B	A	autoPositive 
By the time the youngest ones are there, you'll have older one to take care of them 	A	B	inform 
That's true 	B	A	autoPositive 
I don't know  	A	B	stalling
When you see all these horror stories on television about child care  	A	B	inform
and	A	B	turnKeep
gosh	A	B	inform 
	A	B	
I was seeing something on the television earlier about a little girl that's been telling her mother these terrible stories  	A	B	inform 
and	A	B	turnKeep
of course people are denying it 	A	B	inform
And	A	B	turnKeep
uh	A	B	stalling
it's just frightening 	A	B	inform 
It really is 	A	B	inform 
Well	B	A	turnTake
what, what's	B	A	stalling
what's frightening is a parent to see things that you don't really don't understand	B	A	inform
that, that	B	A	stalling
Huh-uh  	A	B	autoPositive 
Huh-uh 	A	B	autoPositive 
And then  you don't really know what happened 	B	A	inform 
Yeah 	A	B	autoPositive 
We gave up on one baby sitter because we came home one night and found pieces of ribbon	B	A	inform 
um	B	A	stalling
Huh-uh 	A	B	autoPositive 
you know	B	A	stalling
hair ribbon	B	A	inform 
Huh-uh 	A	B	autoPositive 
 -- tied in a chair	B	A	inform 
where obviously she	B	A	inform 
had, had	B	A	stalling
Tell me what you like to do. /	A	B	request
Well	B	A	turnTake stalling
<laughter> I, I	B	A	stalling
I  collect antique tools	B	A	answer 
uh	B	A	stalling
for one thing	B	A	interactionStructuring
I, I'm 	B	A	stalling selfCorrection
well	B	A	stalling
I'm sort of in an antique business	B	A	inform 
but it's a little part time thing	B	A	contradict
Oh	A	B	autoPositive 
sideline,  part time	B	A	selfCorrection
Uh-huh	A	B	autoPositive 
wonderful	A	B	autoPositive 
and	B	A	turnKeep
uh	B	A	stalling
 I'm building a log house at a  farm that I have in East Texas, which is a hundred miles from here	B	A	inform 
a, a	B	A	stalling
Oh	A	B	autoPositive 
Wonderful	A	B	autoPositive 
Yeah	B	A	autoPositive 
it's really neat	B	A	inform 
And	B	A	turnKeep
uh, uh	B	A	stalling
course I've been working on it for five years	B	A	inform 
but, you know	B	A	turnKeep stalling
Oh	A	B	turnGrab
but how wonderful	A	B	autoPositive 
Are you close to getting it done?	A	B	propositionalQuestion
Yeah	B	A	answer 
yeah	B	A	answer 
it's getting real close to 	B	A	inform 
 Oh	A	B	autoPositive 
you know	B	A	stalling
of course there's still a lot of work to be done,  	B	A	inform 
and then when you get it completely, the shell finished, you still have a lot of stuff to do inside	B	A	inform 
you know	B	A	stalling
uh	B	A	stalling
but, uh	B	A	stalling
Are you going to move your whole family over there then? 	A	B	propositionalQuestion
No	B	A	answer 
actually, I'm not even sure	B	A	inform 
uh	B	A	turnKeep stalling
I may	B	A	answer 
I'll probably always have a place here in Richardson or Dallas	B	A	inform 
Uh-huh	A	B	autoPositive 
kind of your getaway place	A	B	checkQuestion
Yeah	B	A	confirm 
escape	B	A	inform 
But it's beautiful	B	A	contradict
it's, you know, it's	B	A	stalling
it's Eastern Hardwood, forest,  	B	A	inform 
uh	B	A	stalling turnKeep
there are a lot of pine trees,	B	A	inform 
but it's mostly oaks	B	A	contradict
and	B	A	turnKeep
Oh	A	B	turnGrab
how beautiful	A	B	autoPositive 
and it's pretty flat there?	A	B	checkQuestion
Well,	B	A	stalling turnTake
it's kind of,  hilly	B	A	disconfirm 
but	B	A	turnKeep
you know, 	B	A	stalling
it's low hills	B	A	inform 
it's not	B	A	retraction
uh	B	A	stalling
See	A	B	turnGrab
I've only been to Texas once	A	B	inform 
 I have two sisters in Texas now, one in Austin, one in Dallas	A	B	inform 
um,	A	B	stalling turnKeep
and the one in Dallas is the one that got me to doing this	A	B	inform 
 Yeah	B	A	autoPositive 
and	A	B	turnKeep
uh	A	B	stalling
I thought Austin was beautiful	A	B	inform 
You	B	A	turnTake retraction
 I liked the hills and the trees	A	B	inform 
 Yeah	B	A	autoPositive 
 in Aus-	B	A	retraction
 Yeah,	B	A	autoPositive 
it's really different because  that's the chalk hills down there,	B	A	inform 
that's kind of the, that's the	B	A	selfCorrection
you know	B	A	stalling
Oh	A	B	turnGrab
and  you've always lived in Texas, have you?	A	B	checkQuestion
lime-, limestone	B	A	selfCorrection
the  limestone hills	B	A	selfCorrection
Yeah	B	A	confirm 
except for time in service	B	A	inform 
Uh-huh	A	B	autoPositive 
Born and raised Texan, huh	A	B	checkQuestion
Yeah	B	A	confirm 
Well,	A	B	stalling turnTake
I had never been there	A	B	inform 
that's pretty neat	A	B	inform 
My sisters both seem to like it pretty well	A	B	inform 
My brother-in-law works for the University, in Dallas	A	B	inform 
um	A	B	stalling
Wh	B	A	setQuestion
He's admissions director	A	B	inform 
At, at	B	A	turnTake stalling
at which one?	B	A	setQuestion
Uh	A	B	turnTake stalling
University of Texas in Dallas	A	B	answer 
Oh, okay	B	A	autoPositive stalling
Yeah	A	B	autoPositive 
it's just north of me here	B	A	inform 
Yeah	A	B	autoPositive 
Well	A	B	turnKeep
that's,	A	B	retraction
he's got a job  there	A	B	inform 
and this is his first year	A	B	inform 
so, it's been a real interesting thing for them	A	B	inform 
That's great.	B	A	autoPositive 
But they seem to like it okay.	A	B	contradict
I think they're too far away from me,	A	B	inform 
but maybe some day they can get closer	A	B	contradict
Well,	B	A	turnTake
yeah	B	A	autoPositive 
we'll see	A	B	interactionStructuring
 Pretty good trip	B	A	agreement 
So	B	A	interactionStructuring
what do you, what kind of  	B	A	selfCorrection
what kind of  hobbies are you in?	B	A	setQuestion
Well,	A	B	stalling
I'm mother of four	A	B	answer 
so basically I'm just real busy with my kids right now in sports	A	B	answer 
<Laughter>	B	A	autoPositive 
and we have a little Halloween talent show tonight	A	B	inform 
and, <inhaling>	A	B	turnKeep
I substitute at the schools part-time	A	B	inform 
Oh,	B	A	turnTake stalling
that's great	B	A	autoPositive 
Well,	A	B	turnTake stalling
I am a travel agent at heart	A	B	inform 
my hobby is just	A	B	retraction
I love traveling and being involved in that and finding out more	A	B	inform 
and, and	A	B	stalling
uh	A	B	stalling
but, it's real hard to work in the summers and  holidays and weekends when you have four children and a husband	A	B	contradict
so I reluctantly gave that career up and am just substituting at the school	A	B	inform 
No, kidding. 	B	A	autoPositive 
so I've been librarian all this week, which has been real interesting,  	A	B	inform 
and I'm enjoying it.  	A	B	inform 
I'm around my kids  	A	B	inform 
and,	A	B	turnKeep
That's pretty easy substituting isn't it?	B	A	checkQuestion
Oh yeah, 	A	B	confirm 
yeah,	A	B	confirm 
<Laughter>.	B	A	autoPositive 
 it's great, 	A	B	inform 
 it's great, 	A	B	inform 
and what else do I do, 	A	B	interactionStructuring
I do lots of cross stitching when I have time	A	B	answer 
Ooh.	B	A	autoPositive 
and I enter things in our little state fair,	A	B	inform 
and that's pretty fun.	A	B	inform 
That's great.	B	A	autoPositive 
Well, but,	A	B	turnTake
actually my hobbies mostly  is my sports. Tennis,	A	B	inform 
is mostly is			selfCorrection
 I play tennis	A	B	inform 
Ooh	B	A	turnTake stalling
I love tennis too	B	A	inform 
Ooh,	A	B	autoPositive 
do you?	A	B	propositionalQuestion
and I ski	B	A	inform 
ski, ski	B	A	stalling
do you ski?	B	A	propositionalQuestion
Yes,	A	B	answer 
we snow ski	A	B	inform 
We snow ski at Mount Bachelor mostly, in Oregon 	A	B	inform 
Uh,	B	A	turnTake stalling
that's great	B	A	autoPositive 
have you ever been there?	A	B	propositionalQuestion
No	B	A	answer 
uh,	B	A	stalling
Wonderful place.	A	B	inform 
I've skied in Colorado	B	A	inform 
and	B	A	turnKeep
we usually go to New Mexico because it's a little cheaper	B	A	inform 
Ooh	A	B	autoPositive 
you know	B	A	feedbackElicitation
Uh-huh	A	B	autoPositive 
Where in Colorado?	A	B	setQuestion
I've been to Telluride which is on the west side	B	A	answer 
Yes,	A	B	autoPositive 
yes	A	B	autoPositive 
and	B	A	turnKeep
uh	B	A	stalling
Copper	B	A	answer 
Copper is kind of my favorite up there.	B	A	inform 
Really	A	B	autoPositive 
Breckenridge	B	A	answer 
Uh-huh	A	B	autoPositive 
and Keystone	B	A	answer 
I guess those are the only places I've skied up there	B	A	inform 
I would love, I can hardly wait to get	A	B	selfCorrection
I can hardly wait to get up there	A	B	inform
Me, too	B	A	inform 
You guys, are you guys	B	A	selfCorrection
are you guys getting snow?	B	A	propositionalQuestion
We,	A	B	retraction
it is snowing right now	A	B	answer 
We're to get one to three inches tonight	A	B	inform 
 <Laughter> Oh, gee	B	A	autoPositive 
I heard Aspen got three feet	B	A	inform 
Oh, yeah,	A	B	autoPositive 
well	A	B	turnKeep stalling
we're, we are	A	B	selfCorrection
we are on the dry side of the mountains	A	B	inform 
Seattle is only about two and a half hours	A	B	inform 
so of course I'm a real Seahawks fan	A	B	inform 
 Yeah	B	A	autoPositive 
and,	A	B	turnTake
um,	A	B	stalling
going over that pass is  just a real nightmare	A	B	inform 
 I can imagine, my lord	B	A	autoPositive 
And,	A	B	turnTake
um, so, 	A	B	stalling
and we're on the colder side,	A	B	inform 
they're on the rainy side	A	B	inform 
we're on the snowy side	A	B	inform 
and,	A	B	turnKeep
um,	A	B	stalling
we, we	A	B	stalling
we ski	A	B	inform 
My, my	A	B	stalling
my children all ski	A	B	inform 
Oh, super	B	A	autoPositive 
we've, we have	A	B	selfCorrection
and we have been to Whistler in Canada,  which is just a marvelous place,  	A	B	inform 
Whistler and Black Home <<spelled phonetically>> is in Canada	A	B	inform 
and then we've gone to Sun Valley several times	A	B	inform 
that's just a great place. 	A	B	inform 
But not in Colorado	A	B	contradict
a, just a	A	B	selfCorrection
no Colora-, not in Colorado	A	B	selfCorrection
since I was in college, since I went to school,	A	B	selfCorrection
What about Utah?	B	A	setQuestion
 Haven't been there	A	B	answer 
I keep hearing these marvelous things about Dear Valley and City	A	B	inform 
Yeah	B	A	autoPositive 
haven't either	B	A	inform 
and,	A	B	turnKeep
um,	A	B	stalling
um	A	B	turnKeep stalling
Always want to go to Canada to Banff or somewhere like that	B	A	inform 
Ooh, yes	A	B	autoPositive 
And your kids all ski? 	A	B	propositionalQuestion
Uh,	B	A	turnTake stalling
not all of them	B	A	answer 
Uh-huh	A	B	autoPositive 
My kids are all grown	B	A	inform 
But my youngest son is a skier	B	A	contradict
Really	A	B	autoPositive 
that's great	A	B	autoPositive 
Well,	A	B	turnKeep stalling
my boys are at the point where they scare their mommy to death	A	B	inform 
Uh-huh	B	A	autoPositive 
When they're skiing they're fearless	A	B	inform 
 Good morning	Robot		initialGreeting
 did you take your morning pills	Robot		checkQuestion
 Good morning robo	Older Adult		returnGreeting
 I am looking for my glasses 	Older Adult		inform
 can you find them anywhere	Older Adult		request, question
 I can help you find them	Robot		acceptRequest, answer
 do you remember where you last saw them?	Robot		question
 I kept them on my bedside table with my book, very carefully	Older Adult		answer
Okay 	Robot		agreement
then	Robot		turnKeep
let me go and have a look	Robot		promise, offer
 That will be really kind of you	Older Adult		thanking, accept offer
 I did not find your glasses on the table	Robot		inform
 Do you remember where you went after waking up	Robot		question
 To the bathroom	Older Adult		answer
 I will go and check the bathroom	Robot		promise
 I did not find your glasses there also  	Robot		inform
Ohh god, 	Older Adult		autoPositive
I cant see anything	Older Adult		inform
Do not worry 	Robot		suggest
I will check at other places	Robot		promise
Please do 	Older Adult		thanking
I cannot see anything without them 	Older Adult		inform
Here you go	Robot		opening
they were in the kitchen	Robot		inform
Thank you so much	Older Adult		thanking
I would like to ask if you took your morning pills	Robot		checkQuestion, interactionStructuring
Ahh, 	Older Adult		stalling, turnKeep
yes yes	Older Adult		answer
thanks for reminding 	Older Adult		thanking
I will do that immediately 	Older Adult		promise
Robo 	Older Adult		initialGreeting, opening
can you help me getup from this chair	Older Adult		request, interactionStructuring
Yes	Robot		acceptRequest
Can you press the button here	Robot		request
Can I hold your arm	Older Adult		checkQuestion
I am sorry but	Robot		contradict
but 	Robot		contradict
just to remind you we have a separate arm that comes out when you press the lifting button here on my screen. 	Robot		inform
By the way 	Older Adult		stalling, interactionStructuring
Are you charged enough	Older Adult		checkQuestion
Yes  	Robot		agreement
you charged me yesterday evening	Robot		inform, answer
my charging is 95% still.	Robot		inform
Great,	Older Adult		agreement
so where were we	Older Adult		question
You wanted to get up from the chair, 	Robot		answer
for which you have to select the lift option on my screen	Robot		inform
Okay	Older Adult		agreement
done	Older Adult		inform
Now hold this hand	Robot		instruct
You know its lot of work to just get up 	Older Adult		inform
Can I help you in any other way	Robot		question
Not for now.	Older Adult		answer
 Hello Robo, 	Older Adult		initialGreeting
I am home	Older Adult		opening
 can you help me with organizing these groceries.	Older Adult		request, question
 Hello	Robot		returnGreeting
 yes sure	Robot		acceptRequest, answer
 Here take the bag	Older Adult		request, instruct
 Yes sure	Robot		acceptRequest
Do you remember if I have anymore outdoors to do	Older Adult		checkQuestion
I did not quite understand you, 	Robot		autoNegative
can you rephrase it again for me 	Robot		question
Can you tell me the schedule for rest of the evening	Older Adult		request
Yes absolutely, 	Robot		acceptRequest
you have to take your blood pressure and cholesterol pills, 	Robot		inform
then you have to	Robot		turnKeep
prepare and eat your dinner 	Robot		inform
and finally	Robot		turnKeep
your anxiety pills before you are off to sleep. 	Robot		inform
 Sounds great  	Older Adult		agreement
 thanks a lot	Older Adult		thanking
Hello, 	Older Adult		initialGreeting
I would like to book an appointment with a physiotherapist on Wednesday.	Older Adult		opening, interactionStructuring
 What time would suit you on Wednesday.	Robot		checkQuestion
 Wait a moment, 	Older Adult		pausing
 I just remembered I have something important on Wednesday 	Older Adult		inform, selferror
 can it be on Thursday	Older Adult		question, retraction
 Okay, Thursday	Robot		answer
but we have only morning slots from 10 to 12	Robot		contradict
 Okay no problem, 	Older Adult		agreement
can I book the slot 1000 to 1100 on Thursday	Older Adult		checkQuestion
 Absolutely, 	Robot		answer
 so I have booked the appointment with physiotherapist on Thursday at 10. 	Robot		inform
 Confirm if its correct	Robot		request, feedbackelicitation
 Yes, its correct 	Older Adult		acceptRequest
thanks a lot	Older Adult		thanking
 Today you have a skype call with your grand kids at 1530	Robot		inform
 would you like to confirm it	Robot		request
 Oh, 	Older Adult		stalling
how can I forget that	Older Adult		apology
thanks you are a savior	Older Adult		thanking
 So do you confirm it	Robot		checkQuestion
 Yes absolutely	Older Adult		agreement
 Okay	Robot		agreement
 It would have been so much better to meet them personally	Older Adult		inform, interactionStructuring
 So you dont want to do the call	Robot		checkQuestion
 No not at all 	Older Adult		correction
 Why do you prefer meeting personally	Robot		checkQuestion
I can see them playing around 	Older Adult		inform
and	Older Adult		turnKeep
I can laugh with them	Older Adult		inform
and	Older Adult		turnKeep
eat with them	Older Adult		inform
 Okay 	Robot		agreement
then I will cancel the call	Robot		promise
can you confirm that	Robot		request
I am saying that 	Older Adult		alloNegative
calling is fine, 	Older Adult		inform
but meeting them is so much better	Older Adult		contradict
 Oh 	Robot		stalling
I am sorry, 	Robot		apology
I will let you know when they are active on skype.	Robot		promise
 Yes please 	Older Adult		thanking
 I presume you took shower just now, 	Robot		inform, opening
 did you check that all the taps were closed properly.	Robot		checkQuestion
 What caps are you talking about	Older Adult		autoNegative
 Not caps taps, 	Robot		correctMisspeaking
 you were in the bathroom 	Robot		inform
and	Robot		turnKeep
the water tap is loose,	Robot		inform
you asked me to remind you every time you come from a shower.	Robot		inform
 Ohh 	Older Adult		stalling, turnTake
now I understand, 	Older Adult		agreement
 thanks for taking care of it	Older Adult		thanking
 will go and check once more.	Older Adult		promise
 Hope you did not forget to switch off the gas burner	Robot		inform, opening
 Ohh, 	Older Adult		stalling
I dont know 	Older Adult		stalling
 can you please check it for me, 	Older Adult		request
 you know it can happen	Older Adult		inform
 Okay no problem	Robot		acceptRequest
  was it switched off	Older Adult		question
  no 	Robot		disagree
it was running, 	Robot		answer
but I switched it off	Robot		contradict
 How careless of me, 	Older Adult		apology
I will try to remember 	Older Adult		promise
but this aging is cruel you know, 	Older Adult		contradict
can you take care of it in the future	Older Adult		request
 Dont worry 	Robot		suggest
I am here to take care of it.	Robot		acceptRequest
 I hear the kettle running,	R		inform
do you still want to use it	R		checkQuestion
 What kettle, 	A		autoNegative
I just got some hot water for my coffee	A		inform
 Did you forget to switch it off	R		checkQuestion
 No 	A		answer
I did 	A		inform
 Anyways 	R		turnTake
I can go and confirm then if its safely switched off	R		offer
 Okay	A		acceptOffer
The Yoga instructor is waiting downstairs. 	R		inform
I can't find my stuff. 	A		inform
I know I had my notes on the table last night. 	A		inform
 I'll wait for you.	R		promise
Let's go. 	A		instruct
Where's your yoga mat?	R		question
What? 	A		autoNegative
I came to pick you up for Yoga. 	R		alloNegative
I thought we were going to the math session. 	A		inform, selferror
I'm not well. 	Older Adult		inform
You look scared. 	Robot		inform
You probably have an anxiety attack. 	Robot		inform
When did you start feeling this way? 	Robot		question
Do you mean this time or ever? 	Older Adult		checkQuestion
This time. 	Robot		answer
Yesterday. 	Older Adult		answer
I feel better today	Older Adult		inform
but 	Older Adult		contradict
I still feel this terrible fear.	Older Adult		inform
I let the doctor know. 	Robot		promise
Stay here now. 	Older Adult		instruct
I don't want to be alone.	Older Adult		inform
I sent her a message already. 	Robot		inform
She will soon respond.	Robot		inform
Take a deep breath Anna and exhale even more deeply. 	Robot		suggest
She's coming to see you now. 	Robot		inform
Who? 	Older Adult		question
The doctor. 	Robot		answer
Yeah, 	Older Adult		agreement
but who? 	Older Adult		contradict
Doctor Larsson. 	Robot		inform
 Robo, 	Older Adult		initialGreeting, opening
can you help me save Tobbys phone number	Older Adult		request, interactionStructuring
 Okay, 	Robot		acceptRequest
first go to your phone directory.	Robot		instruct
 Okay 	Older Adult		agreement
how does it look like?	Older Adult		question
There should be some kind of an image of a directory book or a phone	Robot		inform
Ahh ha 	Older Adult		stalling
yes, here it is, I found it	Older Adult		inform
Then	Robot		turnTake
there must be add contacts or a plus sign made on the top left or right	Robot		inform
Wait 	Older Adult		stalling
here are lot of things 	Older Adult		inform
I cant find it	Older Adult		inform
go slow robo.	Older Adult		request
Okay okay 	Robot		acceptRequest
no hurry	Robot		suggest
take your time	Robot		suggest
Here you go 	Older Adult		turnTake
